ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9320837,HW464617,09/23/2013 3:45,060XX S LOOMIS BLVD,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,STREET,FALSE,FALSE,713,7,16,67,26,1167991,1864677,2013,09/27/2013 0:40,41.78421115,-87.65962271,"(41.784211150057224, -87.65962271155225)"
9320174,HW463233,09/23/2013 3:45,021XX W LELAND AVE,560,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,1911,19,47,4,08A,1161445,1931155,2013,09/26/2013 0:40,41.96677105,-87.68177272,"(41.966771051924056, -87.6817727163177)"
9319862,HW463256,09/23/2013 3:35,014XX W 58TH ST,810,THEFT,OVER $500,STREET,TRUE,FALSE,713,7,16,67,6,1167688,1866321,2013,09/26/2013 0:40,41.78872899,-87.66068647,"(41.78872899483757, -87.66068647176748)"
9318846,HW463284,09/23/2013 3:30,041XX S ELLIS AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,214,2,4,36,6,1183489,1877527,2013,09/25/2013 0:43,41.8191253,-87.6024009,"(41.819125301249755, -87.60240089682273)"
9318794,HW463223,09/23/2013 3:30,059XX W DAKIN ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,1633,16,38,15,6,1136087,1925600,2013,09/26/2013 0:40,41.9520189,-87.77514459,"(41.95201889614597, -87.77514458750069)"
9318776,HW463219,09/23/2013 3:30,072XX W BIRCHWOOD AVE,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,STREET,FALSE,FALSE,1611,16,41,9,11,1126764,1949217,2013,09/25/2013 0:43,42.01698783,-87.80888511,"(42.01698782911839, -87.80888511239824)"
9319240,HW463369,09/23/2013 3:18,053XX S CORNELL AVE,460,BATTERY,SIMPLE,RESIDENCE,TRUE,FALSE,234,2,5,41,08B,1188201,1870143,2013,09/25/2013 0:43,41.79875183,-87.58535151,"(41.798751828349985, -87.58535150640584)"
9318771,HW463218,09/23/2013 3:15,050XX W WEST END AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,TRUE,TRUE,1532,15,28,25,08B,1142828,1900555,2013,09/25/2013 0:43,41.88316962,-87.75098945,"(41.883169618222844, -87.75098944651093)"
9319102,HW463243,09/23/2013 3:13,043XX W DRUMMOND PL,630,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,2524,25,31,20,5,1147105,1917309,2013,09/26/2013 0:40,41.92906361,-87.73485466,"(41.9290636123122, -87.73485465871417)"
9319113,HW463224,09/23/2013 3:13,043XX W DRUMMOND PL,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,2524,25,31,20,5,1147087,1917309,2013,09/26/2013 0:40,41.92906396,-87.7349208,"(41.929063957060514, -87.73492080374321)"
9318819,HW463254,09/23/2013 3:00,086XX S CHAPPEL AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,412,4,8,45,08B,1191308,1847978,2013,09/26/2013 0:40,41.73785458,-87.57467463,"(41.73785458197943, -87.57467463427855)"
9323279,HW464871,09/23/2013 3:00,084XX S THROOP ST,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,FALSE,FALSE,613,6,21,71,17,1169178,1848566,2013,09/28/2013 0:40,41.73997487,-87.65573601,"(41.739974867721656, -87.65573600837885)"
9318805,HW463237,09/23/2013 2:40,005XX W ERIE ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,1831,18,42,8,6,1172441,1904641,2013,09/25/2013 0:43,41.89377896,-87.6421282,"(41.893778956558755, -87.64212819627274)"
