ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9318772,HW463179,09/23/2013 1:00,008XX N ALBANY AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,FALSE,TRUE,1211,12,27,23,08B,1155511,1905665,2013,09/30/2013 0:39,41.89694633,-87.70427888,"(41.89694633398405, -87.70427888043518)"
9325109,HW468609,09/23/2013 1:00,060XX W BYRON ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1633,16,38,17,6,1135195,1925251,2013,09/29/2013 0:40,41.9510771,-87.77843195,"(41.95107709955432, -87.7784319481184)"
9320147,HW464151,09/23/2013 1:00,012XX N PULASKI RD,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,BAR OR TAVERN,FALSE,FALSE,2535,25,27,23,04B,1149525,1908327,2013,09/26/2013 0:40,41.90436947,-87.7261955,"(41.90436946504419, -87.72619549865675)"
9318735,HW463175,09/23/2013 0:57,009XX N LAVERGNE AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,TRUE,FALSE,1531,15,37,25,18,1142889,1905970,2013,09/25/2013 0:43,41.89802788,-87.75063041,"(41.89802788447141, -87.75063041481567)"
9320159,HW464313,09/23/2013 0:55,066XX N CAMPBELL AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,FALSE,TRUE,2412,24,50,2,26,1158486,1944122,2013,09/26/2013 0:40,42.0024143,-87.6922957,"(42.00241429839042, -87.69229569703604)"
9318732,HW463172,09/23/2013 0:45,006XX E 82ND ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE PORCH/HALLWAY,FALSE,TRUE,631,6,6,44,08B,1182250,1850739,2013,09/26/2013 0:40,41.7456454,-87.60777516,"(41.74564539870884, -87.60777515661009)"
9318736,HW463177,09/23/2013 0:44,023XX W 66TH ST,470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,TRUE,FALSE,832,8,15,66,24,1161613,1860865,2013,09/25/2013 0:43,41.77388525,-87.68311269,"(41.77388525395088, -87.68311269241403)"
9318730,HW463165,09/23/2013 0:43,047XX S LAKE PARK AVE,1330,CRIMINAL TRESPASS,TO LAND,PARKING LOT/GARAGE(NON.RESID.),TRUE,FALSE,222,2,4,39,26,1186257,1874027,2013,09/25/2013 0:43,41.809456,-87.59235768,"(41.809456003101516, -87.5923576758087)"
9318758,HW463178,09/23/2013 0:33,001XX S SPRINGFIELD AVE,2027,NARCOTICS,POSS: CRACK,SIDEWALK,TRUE,FALSE,1122,11,28,26,18,1150446,1899346,2013,09/25/2013 0:43,41.87970673,-87.72304703,"(41.87970672932822, -87.72304703296764)"
9327659,HW471209,09/23/2013 0:30,047XX N SACRAMENTO AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1713,17,33,14,6,1155485,1931193,2013,09/30/2013 0:39,41.96699761,-87.7036858,"(41.966997606040806, -87.70368579988079)"
9320099,HW464227,09/23/2013 0:30,064XX N ALBANY AVE,820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,2412,24,50,2,6,1154463,1942543,2013,09/26/2013 0:40,41.99816315,-87.70713847,"(41.998163150366224, -87.70713847312007)"
9318717,HW463164,09/23/2013 0:30,004XX E PERSHING RD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,212,2,4,35,18,1179977,1879262,2013,09/25/2013 0:43,41.82396753,-87.61523092,"(41.823967534761756, -87.61523091641632)"
9319646,HW463716,09/23/2013 0:30,016XX N THROOP ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1433,14,32,24,14,1167229,1911816,2013,09/27/2013 0:40,41.91358125,-87.66106351,"(41.913581247180836, -87.6610635072768)"
9321131,HW464830,09/23/2013 0:30,020XX S WABASH AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,OTHER,FALSE,FALSE,131,1,3,33,14,1177033,1890488,2013,09/26/2013 0:40,41.85483954,-87.62569204,"(41.85483954281647, -87.6256920419674)"
9318925,HW463334,09/23/2013 0:30,025XX W CORTLAND ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,1434,14,1,22,6,1159169,1912498,2013,09/25/2013 0:43,41.91562225,-87.69065555,"(41.9156222509635, -87.69065555152493)"
9318791,HW463157,09/23/2013 0:20,060XX S COTTAGE GROVE AVE,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,313,3,20,42,08B,1182562,1865207,2013,09/25/2013 0:43,41.7853398,-87.60618378,"(41.78533980475134, -87.6061837794729)"
9318738,HW463173,09/23/2013 0:18,002XX S WACKER DR,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,OTHER,FALSE,FALSE,122,1,2,32,26,1174012,1899114,2013,09/27/2013 0:40,41.87857767,-87.63652332,"(41.87857766583336, -87.63652332173906)"
9318795,HW463156,09/23/2013 0:15,020XX S WABASH AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,131,1,3,33,14,1177029,1890673,2013,09/25/2013 0:43,41.85534729,-87.62570113,"(41.85534728587316, -87.62570112751563)"
9318707,HW463148,09/23/2013 0:15,003XX S CICERO AVE,2027,NARCOTICS,POSS: CRACK,ALLEY,TRUE,FALSE,1533,15,24,25,18,1144396,1898214,2013,09/25/2013 0:43,41.87671629,-87.74529049,"(41.876716288882314, -87.74529049224202)"
9319176,HW463442,09/23/2013 0:10,002XX S STATE ST,031A,ROBBERY,ARMED: HANDGUN,CTA TRAIN,FALSE,FALSE,113,1,42,32,3,1176377,1899176,2013,09/30/2013 0:39,41.87869478,-87.62783775,"(41.87869477954362, -87.62783775270154)"
9318754,HW463162,09/23/2013 0:10,011XX W 83RD ST,496,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,APARTMENT,TRUE,FALSE,613,6,21,71,04B,1169843,1849715,2013,09/25/2013 0:43,41.74311349,-87.65326627,"(41.74311348866508, -87.65326626887463)"
9318718,HW463158,09/23/2013 0:05,011XX N LEAMINGTON AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,FALSE,FALSE,1531,15,37,25,3,1141786,1906904,2013,09/25/2013 0:43,41.90061138,-87.75465855,"(41.90061137511122, -87.75465854635353)"
9318774,HW463168,09/23/2013 0:03,007XX N TRUMBULL AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,TRUE,FALSE,1121,11,27,23,26,1153286,1904723,2013,09/25/2013 0:43,41.89440587,-87.71247604,"(41.894405870498325, -87.71247604197973)"
9320524,HW464467,09/23/2013 0:01,053XX S CALIFORNIA AVE,930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,FALSE,FALSE,923,9,14,63,7,1158581,1868918,2013,09/26/2013 0:40,41.79604618,-87.69400796,"(41.79604618415078, -87.69400796336203)"
9326714,HW470022,09/23/2013 0:01,021XX W ROSEMONT AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,OTHER,FALSE,FALSE,2413,24,50,2,6,1160615,1941842,2013,09/29/2013 0:40,41.9961139,-87.68452686,"(41.99611389771497, -87.68452686058966)"
9326266,HW466518,09/23/2013 0:01,075XX S COTTAGE GROVE AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,ATM (AUTOMATIC TELLER MACHINE),FALSE,FALSE,624,6,6,69,11,1182824,1855390,2013,09/29/2013 0:40,41.75839493,-87.60552777,"(41.75839493230049, -87.60552777229383)"
9319917,HW464044,09/23/2013 0:00,058XX W DAKIN ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,1633,16,38,15,6,1136640,1925694,2013,09/26/2013 0:40,41.95226694,-87.77310946,"(41.95226694018683, -87.77310946356111)"
9320451,HW463659,09/23/2013 0:00,075XX S PRAIRIE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,623,6,6,69,14,1179380,1855151,2013,09/26/2013 0:40,41.75781835,-87.61815691,"(41.75781835222607, -87.61815691041555)"
9326005,HW469200,09/23/2013 0:00,063XX S FAIRFIELD AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,825,8,15,66,5,1159092,1862556,2013,09/29/2013 0:40,41.77857753,-87.69230802,"(41.77857753309909, -87.69230802212579)"
